DateTime,Entries,UniqueIPs
1578785973,115757,9400836
1578786748,115745,9400824
1578787414,115743,9400822
1578788133,115747,9400826
1578788647,115752,9400831
1578788853,115762,9400841
1578789812,115755,9400834
1578790842,115745,9400826
1578791973,115758,9400839
1578792750,115753,9400835
1578793412,115755,9400835
1578794134,115748,9400828
1578794914,115748,9400828
1578795574,115748,9400828
1578796293,115760,9400840
1578796810,115756,9400836
1578797013,115761,9400841
1578797733,115764,9400844
1578798751,115765,9400844
1578799413,115770,9400848
1578800134,115728,9400806
1578800853,115727,9400805
1578801573,115717,9400795
1578802292,115716,9400794
1578802586,115701,9400778
1578803013,115697,9400774
1578803780,115700,9400777
1578804743,115696,9400773
1578805459,115713,9400566
1578806133,115714,9400567
1578806649,115710,9400561
1578806853,115707,9400558
1578807573,115706,9400557
1578808294,115710,9400562
1578808577,115707,9400559
1578809013,115701,9400553
1578809734,115703,9400555
1578810504,115697,9400549
1578811173,115708,9400560
1578811893,115710,9400562
1578812413,115696,9400546
1578812853,115689,9400539
1578813573,115682,9400532
1578814293,115683,9400533
1578815012,115699,9400549
1578815533,115699,9400549
1578815732,115700,9400550
1578816694,115695,9400545
1578817459,115686,9400536
1578818133,115686,9400536
1578818853,115684,9400534
1578819377,115677,9400526
1578819573,115677,9400526
1578820357,115684,9400533
1578820772,115689,9400538
1578821285,115674,9400523
1578821493,115673,9400522
1578822212,115678,9400527
1578822934,115676,9400525
1578823218,115687,9400536
1578823653,115690,9400538
1578824613,115693,9400541
1578825130,115690,9400538
1578825333,115686,9400534
1578826052,115684,9400532
1578826773,115675,9400523
1578827300,115658,9400506
1578827732,115660,9400508
1578828453,115668,9400516
1578829225,115656,9400504
1578829892,115657,9400505
1578830853,115650,9400499
1578831391,115644,9400493
1578831573,115644,9400493
1578832293,115645,9400494
1578833012,115647,9400496
1578833532,115663,9400512
1578833734,115664,9400513
1578834694,115658,9400507
1578835213,115671,9400520
1578835458,115662,9400510
1578836377,115658,9400506
1578837092,115652,9400500
1578837375,115644,9400490
1578838053,115648,9400494
1578838773,115652,9400498
1578839285,115641,9400487
1578839493,115640,9400486
1578840212,115639,9400486
1578841204,115632,9400480
1578841892,115638,9400487
1578842613,115636,9400485
1578843141,115624,9400472
1578843573,115608,9400456
1578844293,115615,9400463
1578845067,115596,9400444
1578845734,115585,9400433
1578846452,115587,9400435
1578846992,115581,9400429
1578847174,115580,9400428
1578847893,115576,9400424
1578848613,115573,9400421
1578849147,115582,9400430
1578849573,115583,9400431
1578850093,115594,9400442
1578850292,115600,9400447
1578851059,115589,9400436
1578851733,115593,9400440
1578852693,115592,9400439
1578853217,115587,9400434
1578853413,115591,9400438
1578854180,115592,9400439
1578854853,115588,9400435
1578855125,115595,9400441
1578855572,115593,9400439
1578856292,115593,9400439
1578857065,115589,9400435
1578857732,115589,9400435
1578858503,115589,9400435
1578858965,115587,9400431
1578859892,115586,9400430
1578860613,115587,9400431
1578860886,115583,9400426
1578861574,115526,9400369
1578862341,115517,9400360
1578862808,115522,9400365
1578863253,115520,9400363
1578863973,115520,9400363
1578864483,115521,9400364
1578864753,115543,9400386
1578865413,115541,9400384
1578866179,115541,9400384
1578866653,115544,9400387
1578866854,115547,9400390
1578867573,115543,9400386
1578868294,115542,9400385
1578868577,115540,9400384
1578869012,115537,9400382
1578869732,115540,9400385
1578870453,115537,9400382
1578871172,115535,9400380
1578871892,115532,9400377
1578872407,115497,9400341
1578872613,115503,9400347
1578873333,115502,9400346
1578874358,115494,9400338
1578875014,115501,9400345
1578875732,115507,9400352
1578876248,115498,9400342
1578876452,115497,9400341
1578877174,115498,9400342
1578877894,115494,9400338
1578878172,115486,9400329
1578878613,115486,9400329
1578879389,115492,9400335
1578880106,115478,9400321
1578880773,115487,9400330
1578881493,115495,9400338
1578882017,115492,9400336
1578882213,115495,9400339
1578882933,115490,9400334
1578883653,115489,9400333
1578883925,115483,9400326
1578884372,115481,9400324
1578885094,115479,9400322
1578885865,115473,9400316
1578886533,115477,9400320
1578887254,115475,9400319
1578887765,115462,9400304
1578887973,115473,9400315
1578888693,115472,9400314
1578889412,115477,9400319
1578890133,115484,9400326
1578890853,115483,9400325
1578891625,115448,9399715
1578892292,115452,9399719
1578893013,115450,9399717
1578893544,115447,9399714
1578893734,115444,9399711
1578894010,115467,9399734
1578894453,115466,9399732
1578895173,115462,9399728
1578895699,115465,9399731
1578895893,115467,9399733
1578896613,115504,9399771
1578897385,115505,9399772
1578897610,115499,9399765
1578897851,115500,9399766
1578898054,115495,9399761
1578898773,115490,9399756
1578899557,115485,9399751
1578900213,115490,9399756
1578900933,115481,9399747
1578901447,115476,9399742
1578901653,115478,9399744
1578902373,115477,9399743
1578903094,115481,9399747
1578903616,115474,9399740
1578903813,115471,9399736
1578904534,115462,9399727
1578905253,115458,9399723
1578905529,115449,9399714
1578905973,115451,9399715
1578906693,115450,9399714
1578907468,115450,9399714
1578908163,115453,9399717
1578908658,115466,9399729
1578908853,115468,9399731
1578909368,115472,9399735
1578909574,115548,9399812
1578910293,115546,9399810
1578911012,115564,9399829
1578911543,115560,9399826
1578911972,115564,9399830
1578912738,115568,9399834
1578913466,115570,9399836
1578914133,115570,9399836
1578914854,115568,9399834
1578915379,115572,9399839
1578915573,115573,9399840
1578916293,115565,9399832
1578917013,115570,9399837
1578917553,115577,9399844
1578918223,114992,9399256
1578918933,114996,9399260
1578919452,114986,9399250
1578919653,114983,9399247
1578920430,114985,9399249
1578921092,114984,9399248
1578921375,114983,9399247
1578921813,114988,9399252
1578922773,114990,9399254
1578923563,114992,9399260
1578923974,114992,9399260
1578924694,114991,9399258
1578925465,114992,9399259
1578926374,114994,9399261
1578927093,114995,9399260
1578927376,115002,9399267
1578928294,115003,9399268
1578929014,115003,9399268
1578929306,115004,9399269
1578929732,115007,9399272
1578930454,115008,9399273
1578931227,115006,9399271
1578931893,115008,9399273
1578932613,115007,9399272
1578933134,115015,9399281
1578933332,115019,9399285
1578934052,115022,9399288
1578934772,115022,9399288
1578935322,115010,9399276
1578935733,115006,9399272
1578936453,115004,9399270
1578937237,115002,9399268
1578937653,114998,9399264
1578938166,115004,9399270
1578938373,115002,9399268
1578939158,115000,9399268
1578939814,114994,9399262
1578940533,114992,9399260
1578941049,114990,9399258
1578941252,114990,9399258
1578941527,114993,9399261
1578941973,114990,9399258
1578942693,114989,9399257
1578942975,114986,9399254
1578943413,114984,9399252
1578944420,114980,9399248
1578944894,114987,9399256
1578945093,114992,9399261
1578945813,114995,9399264
1578946824,115000,9399269
1578947493,114997,9399266
1578948266,114996,9399265
1578948734,115017,9399286
1578948932,115017,9399286
1578949652,115015,9399284
1578950373,115016,9399285
1578950646,115028,9399296
1578951093,115030,9399298
1578951843,115030,9399298
1578952577,115037,9399305
1578952816,115049,9399317
1578953252,115050,9399318
1578954500,115039,9399306
1578955413,115038,9399305
1578956180,115035,9399302
1578956416,115048,9399315
1578957093,115044,9399311
1578957814,115050,9399316
1578958328,115065,9399331
1578958533,115067,9399333
1578959253,115066,9399332
1578960517,115061,9399327
1578961412,115050,9399316
1578962134,115049,9399315
1578962414,115041,9399306
1578962853,115043,9399308
1578963572,115047,9399312
1578964360,115058,9399323
1578965014,115062,9399327
1578965733,115061,9399326
1578966254,115051,9399314
1578966452,115059,9399322
1578967173,115053,9399316
1578967690,115068,9399331
1578967893,115068,9399331
1578968179,115083,9399346
1578968612,115082,9399345
1578969573,115074,9399337
1578970092,115071,9399334
1578970292,115073,9399336
1578971013,115076,9399339
1578971732,115074,9399337
1578972010,115073,9399336
1578972454,115071,9399335
1578973173,115081,9399346
1578973945,115075,9399340
1578974613,115075,9399340
1578975333,115076,9399341
1578975852,115085,9399350
1578976293,115077,9399342
1578977013,115082,9399347
1578977733,115095,9400194
1578978454,115096,9400195
1578979173,115095,9400194
1578979692,115076,9400174
1578979893,115071,9400169
1578980613,115071,9400169
1578981333,115076,9400174
1578981616,115080,9400178
1578982053,115082,9400178
1578982572,115094,9400190
1578982773,115092,9400188
1578983550,115073,9400168
1578984212,115079,9400174
1578984933,115086,9400181
1578985653,115085,9400180
1578986612,115100,9400195
1578987333,115103,9400198
1578987613,115070,9400165
1578988054,115067,9400162
1578988773,115069,9400164
1578989546,115066,9400160
1578990214,115066,9400160
1578990933,115064,9400158
1578991449,115066,9400160
1578991893,115075,9400169
1578992853,115075,9400169
1578993374,115071,9400165
1578993573,115076,9400170
1578994293,115069,9400163
1578995062,115066,9400160
1578995538,115073,9400166
1578995733,115015,9400107
1578996453,115016,9400108
1578997217,115031,9400123
1578997447,115036,9400128
1578997893,115038,9400129
1578998613,115039,9400130
1578999332,115040,9400131
1579000053,115036,9400127
1579000772,115038,9400129
1579001289,115022,9400112
